epoch,train_loss,val_loss,val_acc,val_macroF1
1,0.4636245236246519,0.13472609588000328,0.9668949771689498,0.9254769643285614
2,0.03958265676109329,0.0683015776347352,0.9840182648401826,0.9551330932985579
3,0.019973766642700702,0.049123293600262026,0.9881278538812786,0.9513766676485542
4,0.012675548741795151,0.0499685104664194,0.9849315068493151,0.9534606611646955
5,0.010618764876070483,0.03115461709819836,0.9924657534246575,0.9743839595803919
6,0.008331602424184096,0.029550873540069685,0.9910958904109589,0.9658516570714175
7,0.005627359208621324,0.02967824930044478,0.9920091324200914,0.9741110101663957
8,0.0050053999419608025,0.03192906329774013,0.9922374429223745,0.975356832089037
9,0.005918762298991219,0.03463957044572387,0.9915525114155251,0.9641859305703189
10,0.004889153017994033,0.027599994188438268,0.9920091324200914,0.9651877152431826
