class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.00041288192733190954,1.0,0.00041288192733190954,0.0008254229906015098
1,fish_02,537,0.8789571523666382,0.5605700612068176,0.8789571523666382,0.6845539808273315
2,fish_03,719,0.6703755259513855,0.6116751432418823,0.6703755259513855,0.6396815180778503
3,fish_04,810,0.8469135761260986,0.9702970385551453,0.8469135761260986,0.904416561126709
4,fish_05,507,0.976331353187561,0.976331353187561,0.976331353187561,0.976331353187561
5,fish_06,38,1.0,0.08242949843406677,1.0,0.15230460464954376
6,fish_07,90,0.9888888597488403,0.6402877569198608,0.9888888597488403,0.7772925496101379
7,fish_08,44,0.9318181872367859,0.051833122968673706,0.9318181872367859,0.09820359945297241
8,fish_09,48,1.0,0.9230769276618958,1.0,0.9600000381469727
9,fish_10,60,0.9833333492279053,0.7763158082962036,0.9833333492279053,0.867647111415863
10,fish_11,20,1.0,0.6896551847457886,1.0,0.8163265585899353
11,fish_12,29,1.0,0.230158731341362,1.0,0.37419354915618896
12,fish_13,36,0.9444444179534912,0.6938775777816772,0.9444444179534912,0.800000011920929
13,fish_14,18,1.0,0.06271777302026749,1.0,0.1180327907204628
14,fish_15,8,0.625,0.028901733458042145,0.625,0.05524861440062523
15,fish_16,41,1.0,0.8541666865348816,1.0,0.9213482737541199
16,fish_17,10,1.0,0.1666666716337204,1.0,0.2857142984867096
17,fish_18,11,1.0,0.3928571343421936,1.0,0.5641025900840759
18,fish_19,6,1.0,0.260869562625885,1.0,0.4137931168079376
19,fish_20,4,0.75,1.0,0.75,0.8571428656578064
20,fish_21,3,0.3333333432674408,0.0058139534667134285,0.3333333432674408,0.011428571306169033
21,fish_22,8,1.0,0.08510638028383255,1.0,0.15686273574829102
22,fish_23,5,1.0,0.2777777910232544,1.0,0.43478262424468994
